序号,姓名,性别,身份证号,用户名,密码,签名
39,雷霞瑞芬,女,440111196702271686,BKbRt1JKAS6,#Qggh&FzDY@.<#s,Rk1MbOFkkCWlRepBQ5Np8Te8S8X4DYOZ88o0cF/1EYVa/Z3t6IwOs1BSETSPslJz4Q6/PUTSNmpl0ZPNJ/FMekn369HVjvnRK/mGqdKhPq5a8PtYvW2sqhmHY4RA2jys+187YCSmMO7ttStamkpMU9RpGxMrMPSPT/4un1sJzyiigMEwik2MFm1Bafkhpa1PbuHl3ViIDHspV6BbISyJPFAKVLPKqKXt/+v0WDKIzC8WtbAk1nkWD97J+4yiKnbGuRSVjgP8XSshPFhsJBnr2Rvs8zeUwt/xo1J8HwhNGQa+rgqYo15nCBTK/FqUlwF3h8Gl43rc6GX6yYR+gdXcwA==
40,付柏明辉,男,440111198603045754,b9nf2k,w8JiV]E]+$d,WqiTjnOhXk6bH8JAGKwaImUAZEDf4PhpbXecaSFSKWDyX+HTUFF94FbM2txkY5W46nrmJtWSDvwk0cdzVB1SUGiCzHxz3kdOQ+jqsxRrglzJ+0YsDwBJB8BAFMSGu2ee2LbdzaHcjGekquSMmO+EI/XWOR01/HjUImAD55uBF2ydz5eHQ4XtF8QVE57Ew4jj/0I/b4GgLNBIDvNKpUoPsdkDlHLsok1BIrHRZStLkwGb1hmsCilana1dmluEoE+vdUxL0i82wMhuffKt+NCc0BpD1r+nRyC8XHSP3ebqQXB2VTAXlQZ8jtulTK0rfQhM0iU60RF7aCFx7sGPHO+i9A==
41,喻哲海,男,440111199210074479,D78mofYu,3={u}otL.U@,KGM8DjKRgzjJhmWFOMve3Vw9iA7ZM8+NI9nd+bH+9G5QeXOX1keCCZXcOuzWoAmdvVNaQGREV0KGwKBd8QjZubI7SUYOvbng58/XLm5py0Jsk9nyEeAogvb1IwYFE/2py+pRb+be45fDUqyPYxdclLW6BqLyeGhozxhoDH3tm5+Zo+D/redevh1Jpqi+dzBuHbl7C/xnVSEeiT5V6Md8hwl/25/gf0yEpZPJfcvPHdFblvl1Rb9OLh6YDNJ//rjLVSGv9PEwzhkBTImPl5/bgS5ZiQJXhWv+j+RMGAT6kdLI4I28ONmvbPo1UWvQo/QaVhlih43qz7ut+YVGwuZE9A==
42,石婉如,女,440111197203112466,EdJR60,g7z?QOb7^_=r,s2xXaw0qH+K27/XhiyEI7b/KiHIYWdTuzaWrPxi3CpuEDEG8MjB1VgxhG8XjVH08sZDc9xuPcC9cTwtL/eceRCrwt9QRI6DldIH7iBeDo3/ZQlJG+hOuv5ija+vK2uoHszvZ+sRPPFLXET4KE26H944kcOVoyetb7KyQIBz5uaWyKRDrIfrDjWKa15DR/yOYXFuyaE1CWWEhTB3wctiDgXGxeqNFqyZ6BKGQl9+e/AYp/PqeP5kBu1lByWvjAlCVzT/ZpcbgOsoQIGUmYqc+TD9DOPZW1bEz3D0NfLB2YCGLtcy0QuQSOmVSFz4qNqqxOcUiYra1z2TVhMmMC7U7KQ==
43,蒋信鸿阳,男,440111197111154116,Ckv2vthn,7)b!Nw}Ee,a3RjmUQR2Lxp5wym7ZQa9nIeSXsHs8nwI/zIXSj4B6l6e4QsonFZsd96AYC8uHxKC3FPH9qSmSZkrgZ7PfnjeusNDgz+C6mZTOwiKiyQp2jLfVRl0fItFe/xv6n1dlNHGca0SPrvSakcAWPH/JsYhITY7LAzOsATHC7f3POYeYoEfYZfZn0iab6bmYqJexUycvjwWgQh/g2q1L7p6jEWW1L7jWXDusH/4b3AbdTa55y+PJ89BQVDvjM/d76N9yO3QsY6tCaJ7HK2YH+2noZtZHAHj9v3cIp+mDCWI3GWHwxIE71llJnxB++A3SFpvSWJs2iMXkw+Sn2SoBDEL4zdzQ==
44,安心妍,女,440111198906213225,lseKJocCXEWP,4PjM~2]3,k9tVFPhhwS4g2e3U06Kox/WSy0aUKOlPhSG9IevDb7iFpzrXahElY7W5QDJcpgcMtBnX4K5F5KKoLKJpBpWGoXEKINRUO5qYUVZqKx8jvshA8z0sccfuD4L5oD8qwqO+UAi4ocrZ5XAbzQQaiEH7tHXeZm3R3LKQqsn0dgUMkRyTgji+ejiqNeU21d5PyiMSZPdns88toFHLvYd3YR0xJRKGbXfJeSrWRjcpCaVc33yd/oCLDTRDQUQtmmrPN5h0CRsnS/etRjbMU5B86N00AsmWdjbqlWRZM5BJvH92Gpf1Py9J4AOS0jYMZt1QVL8XeHj8gKSJFiUNo4mSoWzHMg==
45,邓彭祖,男,440111199401138279,sxJK8wqFF9,{b\qdjFg]=(,Q6JRpSIJJo9vd1OTCu8AgXchtQfAXbubz0MWR8VKTMwj4eJblgj3ggUNE6xWn7BGpx5ibhVbRFwWenkz+43oRLhZizIg0nfzFote8jkhn0UTIZ9LE8TgsvjxDbtc7CKA+TTQKRpFtbYxtN+0HO5APwJnGd+Ht10TZFkurP55dYa7axUPuyYCeG/XwFI3EGHPEk9xvY1+P+bk/x63BIBU3ILcthsT+izp6iueLGJ9ll+xqezUYX1/rCnNGPMCr4JGbJy0S3Q2W3FPCKho2Rvzd5dX8h3Y/pjNtRRs4XrkpEtUPjH0yb0ZWYNKGkKXZvRDYMJANHlonWmSmwdotVFdxA==
46,鲁阳,男,440111199510212634,0v1hVRyVDs,>AEAGc#mmScmCQoW,RipN01VeU3SGhN3k97W9l6W7QufCnaGgCUg+X0H7nb6t9NLBZnj7ee1K/G/1esKNeCN1hnLbUR4QCd6h9DIYDwyBe7r5PWPJRwtRbigSNB9rLVh4BgXF8RwsB34vyHkU3WO/HH7v7wkiOr20KonGQAeNcdWd/FwTLis9TZpTjK9zGeN0q3NzqK86N5tK2zj87CmRJR50qoz5qEZR4sk66l6SEFhHp5c5clsm9qjbqJ3nyI6PbKSe0S7tgxGfh4f+7Q6Mrifp3NxNYK36JehwHfr0u43Q5LwPdaGwZonGKXkMkfzAkTICwaNDKG6ZCMO9gVLbUIRXhHmK86MfGCz6kg==
47,秦涛锐利,男,440111198008079431,KhsvWfVH,^zip4%0_h+r:S,hAo4d30TD8T4E29uhB+VYcsUpIsyv4vj0U1xYKknlrfDyyLiRU85POnybljEsc3ZaDcB/i8saJJ1YZNYjMeI5PSyk5hbmKBMoPzLoG1Zq/NaEXPguPp4EshWfq0CTzgobQ83RrrSTOUByU5FXAFv9G4t04BZZKS3gxZJzlT8WMxEN+Sbuqlk3SWd3T6/gBJwg+EmzeQZxU0e45/CFx5tGAgk0ypqW9SYPdU/l1CpMnQq5UcJvWDw5w6axdun+P9D5C1JeyNys91YGhz7an8rRHEADpZIFoR8286TRCI2u1sk3vnR3SRYt+HgTTxCuw208rqAM06E42CbQNTSN7TPcw==
48,黎欣妍,女,440111200201219264,G8w1yju,+s8duwr|mb4RIJ|,Y1fqOlWc+2LTloyJjm6OQDO2Z8PNX3jGvOvJ+8Y/P1eu9cuVBj5tBVTqwjSHB7AgofUqFdH+sa4LWhx/NLIcgqUN/Rnw3OSL3jjy323KU9xVUnM9/WHG2w8vMdlTD2JlA5WhYYgSStZ8oj+WbiVVO1mBMOdtodTbtsPRy7q4x9r+BSoJRNDMQIcmAOjXuoIwh6TSDL4iSMa1u46tMQKoRqBt6dNBvohNJ3GpfoEekLvHfRMvRI9qUgznlhGY23gx3+TVDjWFSc3F0Fs+7cdgTIGcv7kxIkZMGeTlAPuU5CX3vBrhBNPO82wZH45BPKwq/FqyQljV7PVi/qYKJywJ3g==
49,甘露菊,女,440111197808117905,LeBhgEdjXn,=X>y>s#.FW#$z),NEDcNpjdJp43dhAJur+xLhqZSolA2dCPx2QLwHuHsF6n7U5cuvMNWWUk2t6tKzQx//s6fZOAM9gUoKmr+PEGy+DUj8gb5dv9C33Oi2XrFJ1ZDvyWPYdvurf7Gaxdbes9421iIQSu+c5FMxj+uveOrMnEtmdzcLnT2YoIZcy9gjIw6eyS5zAHEQd1N1nTvHjVeftQ7/3qXYUBIDD5MML9AXgh4hUP5Obx0AkQvOg/7iuIxptVoymVQa1I/nxn+IKvzfiK1MgT4N9Ml7qxSQPLM3GOECyrz79BstOz12Nebd0g/ZrGVwSAUO4edsMWnuXpyTSKYo/RKzrpWPlhoz5NnA==
50,丁琳,女,440111197909079127,lLxDtm21iS,w*i]W[VB_8UYe,e/PQSLI34QJMp1GVwjPbSW/siPJyydM5Y/s4y3oWDsLj5ZV/FycezIqkgRtPeMHsgl+wssbsyDUJqmM19iXIdMaQt5WGix6Uehmt25LLvas/7/ljPv0H7hYBbYwwG/uLWA1RSDaIhXRGJkqMTa67M9INPKcVZGg0bTr3ykgaHLRY1hWcpuLsaQXE2PRQDjJkX86yS99nlNGLXS+ojshakDt8Dd6P0/fAdvSHLC56GK+buXj4cDK5jE7EMurqJ+/S/YS/QAprIKTRO3cu0t0PerDpS6zlW0WCOXrQhetAQD/a86wBjp3ZUbHqLIP8QWY5FnBItUNpa8RdhiKtiYereA==
51,方依诺,女,440111198102150409,mSXdvQ3xD5,%UI~dFJV,eH9/8VDJ6difM8Bt+H1Jl68Qqz3GuEs/ju4Z4PeDSGZilGFzp5KJQezs1lhasq7zU2Q84u4RumQdp5t231Bh7yQ07ihDgRdUCIKNmqw1RzNu/QcST4FSbgZHAoL+NGpf+rowDtGh7MN4fGixa/0kgXOz/0USQSGtZZ4P4hvJ1PNEdRj4BO8o9BgkT0ZPiPolXkuy6GCrmxK7mNnG8xyxbGsOilRxbL0zqKu0NyrApdipDoStwVe8k2R2RQohBJm12ccdO6UW5mBlvMnR097gwXyi4eNQodsjH9x64oZQBNCvkusLoZnb2330/n7urGUm5JjQEW7xqqqU3vFUeq3gPw==
52,温娇,女,440111196710084709,pSJAHTy,sZb0}nC#Xb9,RUFh7Hw0betBBb1/J9DjEQ534YMicCgwSuQHQdeNaKubWZDri9ZqaCp6r1IsbQOZtyPzj6Oeb4wPWdW5I2bv+dBUDVi77zcT148w+sCH6EOIcPh3im1r/RGDs83ZWP7tkV12E4JTZcQ+G9br5Fh14gO9fi+6lEARt6A8yuu7oeyfYUYHlnoZigTTj+HBdXqRKDMwOyZwPupXwXGxDNdORD1syQ6EeXRO0ihwX7qHN/JjbYrG2CaMcFqYf/dIhh/bnmsEiXFBR8Cy1cVO2HXzsAmZaJzUodUyOCcDEdsMKlSo5RIGQlhfAMhZBs0ACCskst/dcuhp20W8Z/Xr8+iGUw==
53,龚亮宁静,男,440111198601095571,KKnrqPw5ft,gRPsRYF>|^jb-,kQtPq8Qb2uq/O3u5dhGKohXHZYkOKps8xJ5ePJ+a0xTSmRUWq4IsYzvztUJLyREcfL21lCJvfY1IqswFypYy5zJkC/G0LPj6fiE9oQughoEkwtJWSgH6B5KXac7uFlRRxpknwOndctj9SuUqgDSNYPoxdLM3iFvQwikMjYT7Bm+pej8aRf92xRTeSKlkBCVnqtzf7WbjhUVnEz0XH43yA79OaSAwEL4HX6GunvnBLPUStsekR2uQd/g0Hqkvsn2pqBMJ0HS6sdvR4ZXjsfzdk587VA8tIXLmP6pteKZrXxleI7XpCiP6cWCn2GQQLkyv+PsAmFmCR3rQk5ZcJM6UUA==
54,黄荷若瑄,女,440111198708019368,Irj9SV,IVtDx[5HaIfjb,w+aVoWYrDFjycfEiqXM5YIC3LFwJkSVIJah0k2b7Yi+9tWWgbfEMCSKnUyZpsEpzlaywcvyD3TRtkXvv13LKT2TCUcFBoBH46QP1sm7qo/155JW52RAsxcyDFJLYHLPvOFhpg9cOx8RcRVjQjejRe0MAFcxyshgTfqNS0CtFXu0aD5MYKsL3XMo0TOJFARoqbIz2vUg4UVwI2zMGWXzWouxThs9zfGjNNq5R5d2ZTekd/D9LK0k9JFR2slo17uksSNZ/n0GjANAaBOlX2mukLV3uZuxwtvpAKS2CysUQYQlhkNFKHHAwyyIlmCNdJ3vssZF7mp9LfJqZcL2u16DAAg==
55,顾栋德明,男,440111199707160399,EfP6pm7YTn5,|eP^l9|a3Qd,Du9l32mq42USa3dE4epjRLt1fvNBHVnmnYR1d64BeuOrmLr999nloYTnctiu9/14MXTtOKS4Eswy62Jrjdbh8em/XqsToO8qcXQjijna330/1/qAGU1qobGmfi4MzxiXspaaftFqB8qbazw2N8hJonjEmjykZNUTj7dLRD4psWQtULDcBulM5OcsWQQPNcHHlCpGuq4SXdRqrWc8xPn6qS9wSj+rEJbC1Ye4KHn9CElW4vmVeArw5C7GXPWzvlF4D+0ae8Q+ZWcIkmGQFvJrydPRPIINwCs6bYrTAWCgPwrT143bMG8LZe5/71EuxZCy5nSUJvPv913G7LfBcLGnuQ==
56,刘铭昌盛,男,440111197106300959,fW0Yyz,V(Ic^1x!rX|D=,Bk08jahNrwPvow0H+/S1lhIidVVJ5UyXSs656V8rWb10lFAKbgGBvAm31ASGzF2to6caCsWT+rUIeU/cT2nTUCVONhi3ZE1B9A+XmAyyFVcQY0sqUUHXYUZ7Ja7/sHpNXdYCUP7jjW0QbXtV5g1CfrzWXqqk+5HwUSL1YDqI8qB+qW7XsZUNdCO+Yyb8/Xj63xJw6d8v5ccL+CuqK18tnXfLte45HBeO92KBe1M/xVFB0uIfBc7Q73KXfeHu+cTxMf8FHs7n/xHtEL4ANedeFWu5qfTfdhpq7NI7n/6TPQ6Oisa1+yeB1xpEAtvFzMyforgC7kIu9pjpQDu1etjULQ==
57,左丹妮春梅,女,440111196701164264,K9KmQLY9pXGY,*(rab;}@^aD3v,X8nutlgGXFqmvv1ddFbBdONsqtTPD6TrkwG1wszaiLdYhgD6199dXppFIiWui9bXcT+yEo/uZEzluEgS/3IBho5HSnoiwtSU1T0KGOXk6Jl2MJo1ykg7WCYzQEcS4w1jgflL1au95baZ/ldWMDCBxB6vvxNV/kcUlydKEg6XBybwqMHI2q8KIueLvl+SeNyymOXZAYS2OcXrk/EHKVnPA8UyIcx3zAYP0aLegqLdB5mmhlqc84Vuy6PgTUZCji2UFMQGp7KXcJl3YfIbtpylMFh3PTw0+ykAgRWZBqms3BJgLwnf9zImfiKxnZnkRj6cAD0hwFrGafqCgBQM9dOyNg==
58,夏志新宇航,男,440111200008091756,YBPXiSSr4L,reg9T;``itY^xB;6,fO5kBO0XcO3FoTfRoGA7CAGAsoMQgEzdgYUeq65NC+UgrsS5j8eu83+FnEmFaeeYr/jsZmbHzM8k2CLXOOig9iOwxw6k9YrsxsoDvTv3BjSFFXSZU3lud1S0I8tstjw4Pk9Q1ivwf5FCNwpnvg7ug0nET1LAZaT3gQCpx4ZhzoKSU7VoZYMAQvs3PZ8zDAMtEax+Mb09QNBv2NxjCqfNTHmm4oTPceu3djf7+OJKmV8+5oi5kegbWbTNO7rCzqUZvmG48vDPjsqurfWlRscH2P+quhkmhZfxq9+7o45eB0q/B5aJa31Nck8Vg4y5w91NVPgCrOB4gACsHZByKg+oug==
59,蒋波乐山,男,440111198108230119,CteqdQOsX0,VTGBTLb?zth,v+lu9HXMgyGNtttnbAVGscW2hoCSDh96qCbC7HgCZrmstLD2CquZgzui4q6zG7SrZA9ZdJ8un8GFu3Ojiq+Qh3Gxiis/2y2zt6uE9YLYpPwt/DTpp6CWdYMurf+FhOdZNgGPowTiI+xlFAmZePaZ57kK80exYZzRCypzZsZT5DcIOlXhZkmhnSsSxaam67eXvRbvgOJlEAE8XC7HKWVHUzEoT1VLcp8aK6T3nutPuJfhvdsczRPj6OJ+7k/93TwiiCvwTEWstLjVebgm1+WcidIhVrSAjZgAB/DDmnXU48HjEeMQ1t+y0u6qYiF5yi/STs1W386FFWLRsSUQr81j/w==
60,薛依诺,女,440111198410190146,IltpLBno,Y?J]]{{*<2rNm,mP9hUs6VwnC0ccx9au+CBpSCtnS+yNe1NyhgvhhuEtUrtM7VCL3u6dTJcWehcOSXVW/OU+IdCe6nvBe61InDAh0l0i7IYyNKS5S3dOhJqGEcRSjdl+wDxb506NCO+jQZXAMDw0zUDS2iDes4WBKslidI1EvtXitsxi1hvPM0IUZ5xtfxX3UKUHaoRvJ2sfa/yoFSa8K34ubzr6ix3Y0NVV7PCOCoiB+HpARwdPgwTnM0Ir5YV3Q9KiEcsGWWSd2v7Ek/7BCBHeeT37a38SOca42bW5s0XRsP6XTpEOWITJizeCP78topdu/FatFGd1jCTDfkOolRJuGavtNvOCDN0w==
61,梁天宇荣轩,男,440111198606028212,CVDJ58,7avHc0*_F$s67e,R+Cq1M5a0HkBmH+1O5U8zln4RFfGoPFSjFqNXnkj7OFt+yFRSQ9uxnZVxX+wE8/y6tBZyII6PvU9GKEV4tm3rHYYp9K0xrhlntRru+n9yrJpekqy/MasYQsPJj93U4zbz1778SJIrw9UGoctxzHgJ8IA+qj1mX3xCJqeOY4c4vg2bsek9RaYePPr5RFdrlGF9CZj6J5RRYOASw8TSAgIcoN8sMc73kNf4oY9j5O0jWiHZ3jieoRMd2yY4qw7w0xdDMhrBL2jJgCU3jL3MVmplFkkO0WCH22hy4HRZrtlsSGhTB73E3COvOux6zC8QdKcf2pMcjIMWySRNNf/VsZHmg==
62,万庆云,男,440111197005319319,tKIusp,#}yrvS5LB:Ex},ElHCsxOfnfr7YKAW2wXP+qDwswHHuSeQ3Dky6jJpQs6TuqkE/Ld1MhImdvD7AlJXO3poW7ZyJFzE6sqWxl5NtupyT921S/u+3Qn6Vk6FB8NryU0aGkwwYIOeVfa8RpJ0JBHCS7skY+81+D+odCx4H2LGpeniQcIASFWadew/xL8sLNfnnjkI9Wwny4OuuVRL2ysdBiD4qmL9K8d2NeBoZKIaCtB1MmuqPoRjxW4eDfQtH1dF4eoxAG+DrSle1h4a2pzD92UOH5l7fJ8GwdK2KJeDA7Sx54ervI2OrQDGV/tIjkaTqrpYH3Om5eruaOOx64KGhEfUkoWPPe4fukBHQw==
63,邹雁,女,440111196902289266,ESJD2lY,-;(4DcP7M2El|P,Zuhg9hC1ZulchnQChD/qmIbakdZD2IkMX5V29rr2MV6xUb4Z3yVIWvLQ2R3mBBunCUE3LoafCNxO8cz6nVfUP+9w4MXdNUL0HVyQAlbsLzF64/Lb9LbP8aH94QmrmyBkzIZp28VEN1gyY3aAvkUYxHdHppH02rv47lDT8z0kBkeUO/B16EG/a5p6BauNqFmzl5m/XEKHEeisRTACZMTZSB3MNPbnxIpm2DgvZrdPP1M7xzZbX5fZvehK3DkR6y3l7miHOyBe15KWhsxOTq5EQqwLu9QEgNRHgNTIAz/8vjuWp+JlN5X7DVVBodQojlVeTi7nHMZwoLA+FXA/3qIWxA==
64,闵怡雨欣,女,440111198103011101,A1UB6T1ABo,uqE1%Mhkz=gC@,G/Rg6SSDyai+gAzc9rZw3QYTDC2alc1DkpvGe2syoPQ08FZcJAMP2FQl31cTuDHeHWuWfiQIeA52D/9Q6+Gg5zgLE/DJa6lq+OBPHpTCU8HnB33EIySEOllysHf1bzfIPc0wxcaYBqsale6zdDM1u7jLHglqIuiIMSVgpLr/FpwE0SVAYAsoYF8Xa9+ttRzSVKreQovJWbaphT/1yF8ViqlHRJeCWnuoHeM6jobVs5fq5xqhfHdXC3wCzRb6uJVI/HfjtmeIOU6IjV69O47ivOe4kLQHBTx/zgrKKr0xNfNWcse606WQEDvTlLPhUNk1IzbxsE0WnkJbhE9zSqH4WQ==
65,齐安阳,男,44011119791022511X,mNKOmu8UAT,Bm9g!MPR,TMdnsG4QRWf/nTnt8lcAbh9hUCWTuWEOWdiwsv6pOQk1IX8lIfTsQHEv4/rIiE5YUcecTCiAHy7A05Qal3siu+evSKATsSSnE6bPjgXz+1zLgkgnD2AdfSjDsVOk/ihraWzCEvZTS0Wmgf795ukgz9miU1g+/lQ646eWqFsSOehzmexMbSOnWfnS263kovUfQFSLyUbY65djpQlxNepnfLOy04bniP/X+rHLyu5TAcGRnR1oTzsmWBa24Ff4oZ2UntFUV28HIpfgus1islAJXwl9um8IpDRfzR7OQegl3CB+dgmPNFCfqV1rOkgdclnOg4S8gvZQ3oKHVyBa0I4xpA==
66,雷琰雅琳,女,440111197606241625,pxuQgRuFSfl2,rT5ACaL}v|)5S8,AIT7bfVP/ZPVy/UNhT+m/1m9WA3z0kKSnY56t/u3KnNgvyt/dRLFuaPi3zAOrcV8HR4Sl5tbRaNiy9ZoP3aVv19TdaZVSa0+ijUmg4Ir4M7ZCiGv/9AqmHkzpa7rV2IyJybiOcdtirJWNxN/FuF7g+t2pmmOC2EslrO8wxM6OV7G3MqoIzmqDC8SZ1OQtjxc8S3oSBTzpUxYW0whcB7u9geuuO1+1tocmYrkXBtcQLiSNU1WJFGZ+xeK98DXKzULubQykQ9TmbUwVup/Fm0PuEmzsdJYTkF/nlY2h00SwgNjkRLEDS1FwnGGGRZuIPINN9SQXXuCjiuGYOUp6RzUtA==
67,曹诗琪雪琴,女,440111198809032860,JzVvVH,P_y::Tla,Lny5db+Sth+oD5bj7WhJxtAsBfdzNiy8vKSr80h3TLxovU/gjfqEwGvXb2qf5NOroJLz6o2k9P38NCT20zWJZWvNq6iVFD2LzT8n1cm0aXpvsmqA5Aw20sNVumUGCYhgi3UEyUG7wFMK1UtPYq7BbxE+nHu1AIoGJSu9vSWiUP1PmIoLbG3i2uil1KkW6RaEzA36FHNmYUfrrL0ldhTEu+f5KdkqHF8NGXVzEaY59lN6vmQZCbMsf7DPPSHh/1wZj9rbxKtNU9y6e72YWYp5j/QQgZ2zroPfBDd/6ZsIyDHe+Er8JFGTBfU3OCpKUpYk/Ki4uKpyWDcBn5GEGKLKYw==
68,施宁静,男,440111196807126733,MJ4TcX1suxUo,!oCy9q[#Di,sZNv8ahQFnSR+JnqSSqBMUq20MTXUCMCezaHOFt0NEeK27w3gg/eejY9/9D6lWssdxXhWzsT1n9ND94jXnYZEhQSUDl9fD737kQ013clwia1/rKN3HhS2iLbqyTg+8o5ggT28ebjYCU3IfpIcf9Ucko260Gs/i3HrLFn8j3eokQjdD4rzth8yIBBzbNn6SyNC/c9Zvep/fbFYQWlM+wP4Xskp57hYvwrKmXOSoyvVXlx0q5FE2y3+D6rXreUDdUb6cQeEC8ACmGsruLL23TtqAykWgUYddfmY02EJJwoFqDk9yiyKnjiczn2nShmyRzxBjQzNgmrmYdSLroYyILQWg==
69,薛芬涵,女,440111197406066148,KIZol7y,|xp*Rwi|52|({b/5,ivHaeIC75hFCaEB1Xx10HLGAKWXr5ckw8j+JriyuJfERuQzR6+HBr2loxzlROaWWZT9kwQO1G1KmH1gw43dzAltn1MWl8u8H+ePWTSReZVY1MP+jlT+D8MKNrydEElh5wJLryyfqJQsM6rOkX/40tMdGIUniWATavR4tji8PE6MxYTMLK1UI7Wtw7ur/SuaFyScZSOuUOzmLY58c35IN9a75tBEIZVN0cdD9AAfMPnQaZdNUmdlGRHh1R4Pv7oeIpHoIVhBDOmmGzeIhPyMuYAQ5ofTwmKpoxGJNhtYOFsh3+Yayl8Lf23yO1bt0UKgTYyMiJEY0ZxIo1rs7rLHs1A==
70,曹嘉俊志新,男,440111199710115679,imfGhQtIRN2w,0@(+|1Um,eXJs65zp6OC8UA7md9kyglb/D0GqxgTltmkJptBCj3oYQ4xs34wet8G0j+YW0BXq5QBGI9VIc1QPTmgQ3kkvz7Swx5bqhU8mh8rjaRoBDpQF/2edOm8/ayOWwnkB0ymG8rpxjp6U0aevJGarYE+R9VvrE/jZTOkhJVw2U0ffqbfaSmBaFuzW4OT+e+hWIoYyPFrjEdVob0AKn7izRm48ED3mUgqCyV3IsiQxjKVUK1SgjpCuyMxOGTRFdNySeBZ+cfopq9kX1OA+yPZgQyWlQyVJzVv9JwAUfRN7dPwXYpSwlh0j7wQb13vlPhAoVYBnyNRbwY3b8Zs6x2Yb5RqW4A==
71,高建军,男,440111197602097996,0xqw0MBsDc,1AyOJ@-)6BI~,K/DncKjeUS5rrF+Sg2GPE3iHmyt3YzRWgnuYqM/b1LwNK42O3lgGGWhZKM+oUtGZwST0viry7fAMz2pRAOracMgfuCf0mA6gT2ZOBrQ5IK8J41EKtAyPP+ShvjjmZVIj/3VknapxIa+BCH2UXIhhudseuF2PEg8cnVQGuAvVU7/LHXM9nTihlIi14SAdenwD8byIYVupWmgo3dHVC+iIy4eIpmbcN3w4kXZzb/9trKOLGKbImwzUzrKCyYXNfK/Qv1jLIp83HjTaE+vodfvMP7rJ3+QNLSvAJ05WiLPFika3iFOzCQ8DZJiSXVeQ+tT5tAfkIyFcA8zURMUUndHiVg==
72,常诗涵婉婷,女,44011119880901358X,MTiWYR,>wK5s#GaFa,GWNV81nekfvkQiOy04R+2IRRRPgjSyZKoP4O3xURUIGSkd+X3K8eQDB3YBetLlX8ww6rDXFMe4zWJhGzflj86tt4gI7H+Q0fIfHngEvLbNpBLRzoB+t9eOrIWmeCVP6DsOJhtS343Q4zi8AaN+6XPR9ssTa4rdjF4Hn0SrbdTMvmApoqGS2wvwtV9Zsi5JpdT5dEO8y1BwNQRHkoSfjSfXrU+OytIZqQHiCNvBdV2P22cBB7331ZPdFHbdVHID/hn15/QsLytYqwsCLt67tvtG/gYIOX6uygk4H7EXKyCQsDEqBJ4sX2B8aH/tkUiloT6f01Za830ZfJC+PyqxON3w==
73,周向阳江,男,440111199612176291,jiPLy5oWeP5L,JAl/$kd4-V!oK!h,AA+8ext3B4/t7F6ffq1O9+w5bZBmeE3erbFfkaB+wvdkmfIDSW7VYQSnzRSZLQ8COb21yQQJ1ACEPVENbOjkKj+Fiorb0CD6ZzHZVJi7JhTbbl3r5zISmhP6chuH+u+enjmzAzW9P4Fl33obhJIVSEzV6fev5BDAOHMxRPGq60mC2JS4cdtGlRVLGeEV+lAcyDu0q07AGFYAnvnPtPUdzeBz63g8gewN8EeC1cqFrVDLLVVzgtf1wKDLJo4om8C1/1/hGMPdLDlLBv2M83m1Rnje4UyYnj+u/TaUegNBeYbEqmC/+w3fTXMp3WOGFBIAZuCGySnwTEYWRynLefV8Rg==
74,余慧玲小红,女,440111198111060747,QDVQIk0TLbH,v%1Zx?sO+oksya,Icibiv22VRd29cfAhA4xaHG8UfyRJ+mZhkwdkZRFqSPitwlvMJRfRZ51hVJnhXT1+Wl9s/mlPxEHIBu5gxY0znMEC/snj47GuvXys4+5leYVzevFvMklDXnPNZ/mEW3WWY1dzMxnq7KPCt1BkHSTJ06MjMb8JZvRSv52OopkIIMRzmTWNb5X+rDAHnbzabU8IPOHcXmR1fJWf/wsJxzLk5opkMrEqBUn5ee2ivwcvi8JyYoUk13XywzwM3l28PcaKNikGgiYI7jOL6W7ZcropAfFJaUYBqy6OaDS6PYH/xBjn2KTYwzLHpD3kRwpNLPBgK+DtQ03CnTApVXjwksf+A==
75,陈帆,男,440111196810235439,uJ5kwLa,+u^U5-G:mOYs,r2uNMYRVh4FMoURscrQ3KGN4OR2r/baV89isnMYuVIh1Biclb+9z5Bvl0eE7Bl2ggFoDzV2UpcMHkQkMtZdvs/2sXbt1X7cC/bXU/JxneSGflHUvY32FEuIph4fmYyiO048fKh/JoJ8g4+gU3yrWqv5a/B2yUdlqSHenJjd4SVe+SiKeJEB3kk1M5+tI7dEaytTarBy3WN4DDXYdhbUXZ4ACu1+Hc09G2QShA8YeQubT9bPyfpQQglc6HP4dbmHpHXbf1Lx1U5xKMQoE1cLTqFLK9IInqU3UFJ+mT2YLB4XbWEVUZKJVJxm6sR4iUc+Jl1AEg34xT8JdSPSJCsxkdA==
